web-scraper-order,web-scraper-start-url,profile,profile-href,brand,model,price,stars,t2size,t2width,arch,weight,comfort,style,comment
1588907795-10726,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/asics-gel-excitee-7-peacoat-classic-red/product/9314771/color/840003,ASICS,GEL-Excite™ 7,$59.94 ,5Rated 5 stars out of 5,88%,100%,76%,Weight: 10 oz,5Rated 5 stars out of 5,,
1588906716-5916,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=6,,https://www.zappos.com/p/on-cloud-terry-silver/product/9225212/color/632,On,Cloud Terry,$149.99 ,5Rated 5 stars out of 5,82%,91%,45%,Weight: 9 oz,,,"Bought these because I wanted a “stylish slip-on”. They fit true to size, sole is nice and cushioned. I’m real happy with them!"
1588907310-8110,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-fresh-foam-tempo-black-black/product/9334354/color/183092,New Balance,Fresh Foam Tempo,$91.84 ,4Rated 4 stars out of 5,75%,50%,75%,Weight: 9 oz,,,
1588907638-9881,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/brooks-dyad-10-grey-black-tan/product/9046342/color/454191,Brooks,Dyad 10,$89.97 ,4Rated 4 stars out of 5,85%,69%,69%,Weight: 14 oz,4Rated 4 stars out of 5,,
1588907939-11591,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=0,,https://www.zappos.com/p/asics-gel-kayano-26-sheet-rock-blue/product/9214830/color/807596,ASICS,GEL-Kayano® 26,$119.95 ,4Rated 4 stars out of 5,79%,86%,70%,Weight: 13 oz,,2Rated 2 stars out of 5,
1588907297-8055,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=3,,https://www.zappos.com/p/new-balance-fuelcell-echo-castlerock-magnet/product/9279498/color/703778,New Balance,Fuelcell Echo,$93.87 ,4Rated 4 stars out of 5,80%,89%,89%,Weight: 12 oz,,,Heel counter feels a little rough.
1588907005-6806,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=4,,https://www.zappos.com/p/under-armour-ua-charged-rogue-royal-white-reflective/product/9141928/color/623606,Under Armour,UA Charged Rogue,$60.00 ,4Rated 4 stars out of 5,79%,81%,81%,Weight: 12 oz,,,"Before buying these shoes, I had been in a slump with online shoe purchases. None seemed to fit right. I was elated to find how well these fit me. Perfect is an understatement. 4e width is too wide for me and there are not many options in 2e and size 14.  I will be buying a second pair in a different color."
1588907743-10451,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/asics-gel-cumulus-21-black-flash-coral/product/9215264/color/685658,ASICS,GEL-Cumulus® 21,$99.95 ,4Rated 4 stars out of 5,90%,97%,84%,Weight: 11 oz,,5Rated 5 stars out of 5,
1588906922-6552,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=5,,https://www.zappos.com/p/saucony-versafoam-extol-blue-black/product/9243316/color/3691,Saucony,Versafoam Extol,$75.00 ,4Rated 4 stars out of 5,100%,100%,100%,Weight: 10 oz,3Rated 3 stars out of 5,,
1588907517-9228,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=2,,https://www.zappos.com/p/nike-flex-experience-run-9-obsidian-metallic-cool-grey-black/product/9312402/color/839226,Nike,Flex Experience Run 9,$65.00 ,4Rated 4 stars out of 5,57%,59%,80%,Heel Height: 1 2?5 in,,,looked navy instead of black
1588907778-10643,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/asics-gel-excitee-7-piedmont-grey-black/product/9314771/color/807679,ASICS,GEL-Excite™ 7,$59.94 ,5Rated 5 stars out of 5,88%,100%,76%,Weight: 10 oz,5Rated 5 stars out of 5,,
1588907700-10250,https://www.zappos.com/men-road-running-shoes/CK_XARC81wEY0O4BIOruAcABAuICBQECAwQY.zso?s=bestForYou%2Fdesc&p=1,,https://www.zappos.com/p/asics-gel-quantum-180-5-white-white/product/9319221/color/1001,ASICS,GEL-Quantum® 180 5,$120.00 ,5Rated 5 stars out of 5,75%,75%,100%,Weight: 11 oz,,,The length of the shoes is good as is the width except in the toe area which seems a little cramped.  The style is good and the walk is comfortable.
