Brand,Model,AgeOfBrand(yrs),Price(USD),Stars,Weight(oz),TrueToSize(%),TrueToWidth(%),ArchSupport(%)
361 Degrees,Sensation 4,17,135.00,null,12.2,null,null,null
361 Degrees,Sensation 4,17,135.00,null,12.2,null,null,null
361 Degrees,Strata 3,17,155.00,5,12,100,100,100
361 Degrees,Strata 3,17,155.00,5,12,100,100,100
Adidas,I-5923,71,130.00,5,9,null,null,null
Adidas,Runfalcon,71,60.00,null,10.4,null,null,null
Adidas,90s Valasion,71,48.00,null,12.4,null,null,null
Adidas,Alphabounce 3,71,91.88,4,10.2,100,100,83
Adidas,Alphabounce 3,71,100.00,4,10.2,100,100,83
Adidas,Alphabounce 3,71,89.36,4,10.2,100,100,83
Adidas,Alphabounce 3,71,88.38,4,10.2,100,100,83
Adidas,Alphabounce RC 2,71,80.00,5,13,67,100,83
Adidas,Alphabounce RC 2,71,80.00,5,13,67,100,83
Adidas,Alphabounce RC 2,71,80.00,5,13,67,100,83
Adidas,Astrarun,71,93.00,null,10.8,null,null,null
Adidas,Astrarun,71,100.00,null,10.8,null,null,null
Adidas,Astrarun,71,66.92,null,10.8,null,null,null
Adidas,Duramo SL,71,65.00,5,9,100,100,100
Adidas,Duramo SL,71,65.00,5,9,100,100,100
Adidas,Duramo SL,71,65.00,5,9,100,100,100
Adidas,Duramo SL,71,65.00,5,9,100,100,100
Adidas,Duramo SL,71,65.00,5,9,100,100,100
Adidas,Edge XT,71,80.00,5,15.8,100,100,100
Adidas,Edge XT,71,80.00,5,15.8,100,100,100
Adidas,Edge XT,71,70.56,5,15.8,100,100,100
Adidas,Edge XT,71,90.00,5,15.8,100,100,100
Adidas,Energyfalcon,71,70.00,4,15,50,83,73
Adidas,Energyfalcon,71,70.00,4,15,50,83,73
Adidas,Energyfalcon,71,48.94,4,15,50,83,73
Adidas,Energyfalcon,71,54.97,4,15,50,83,73
Adidas,Energyfalcon,71,55.00,4,15,50,83,73
Adidas,Energyfalcon,71,70.00,4,15,50,83,73
Adidas,Energyfalcon,71,69.50,4,15,50,83,73
Adidas,Energyfalcon,71,70.00,4,15,50,83,73
Adidas,Energyfalcon,71,70.00,4,15,50,83,73
Adidas,Energyfalcon,71,70.00,4,15,50,83,73
Adidas,Nova Flow,71,57.20,5,8,100,100,100
Adidas,Nova Flow,71,53.79,5,8,100,100,100
Adidas,Nova Flow,71,65.00,5,8,100,100,100
Adidas,Nova Flow,71,65.00,5,8,100,100,100
Adidas,Nova Flow,71,65.00,5,8,100,100,100
Adidas,Nova Run,71,84.38,5,13,100,100,100
Adidas,Nova Run,71,63.00,5,13,100,100,100
Adidas,Nova Run,71,90.00,5,13,100,100,100
Adidas,Nova Run,71,90.00,5,13,100,100,100
Adidas,Nova Run,71,63.00,5,13,100,100,100
